【  影视频道  】,#genre#
CHC电影,http://220.176.11.157:20000/hls/12/index.m3u8
CHC电影,http://115.148.104.135:20000/hls/12/index.m3u8
东森电影台,http://120.84.121.11:808/hls/32/index.m3u8
东森电影台,http://120.84.121.106:808/hls/32/index.m3u8
东森电影台,http://120.84.121.54:808/hls/32/index.m3u8
中国电影,http://110.72.78.39:808/hls/61/index.m3u8
动作电影,http://119.54.11.79:9999/hls/90/index.m3u8
古装剧场,http://223.82.161.157:8822/hls/500/index.m3u8
吉林影视,http://119.54.10.81:9999/hls/21/index.m3u8
天映电影,http://120.84.121.54:808/hls/85/index.m3u8
天映电影,http://120.84.121.106:808/hls/85/index.m3u8
天映电影,http://120.84.121.11:808/hls/85/index.m3u8
家庭影院,http://115.148.104.135:20000/hls/21/index.m3u8
山东影视,http://182.46.8.161:8018/hls/19/index.m3u8
广东影视,http://183.239.193.55:2223/hls/46/index.m3u8
广东影视,http://221.5.12.130:2223/hls/46/index.m3u8
广东影视,http://120.84.121.54:808/hls/142/index.m3u8
广东影视,http://120.84.121.106:808/hls/142/index.m3u8
广东影视,http://120.84.121.11:808/hls/142/index.m3u8
怀旧剧场,http://223.82.161.157:8822/hls/67/index.m3u8
电影,http://119.54.10.81:9999/hls/91/index.m3u8
电影,http://183.239.193.55:2223/hls/75/index.m3u8
第一剧场,http://119.54.10.81:9999/hls/75/index.m3u8
精彩影视频道,http://117.43.218.193:20000/hls/69/index.m3u8
都市剧场,http://119.54.10.81:9999/hls/97/index.m3u8
都市剧场,http://117.43.218.193:20000/hls/39/index.m3u8
风云剧场,http://119.54.10.81:9999/hls/86/index.m3u8
风云剧场,http://115.148.104.135:20000/hls/50/index.m3u8
龙祥电影,http://120.84.121.11:808/hls/35/index.m3u8
龙祥电影,http://120.84.121.54:808/hls/35/index.m3u8
