【  卡通频道  】,#genre#
BRTV卡酷少儿_联通,http://114.254.89.130:8020/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://123.117.32.124:4000/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://221.218.211.229:58888/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://111.192.176.15:8012/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://111.193.228.120:8800/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://221.218.212.142:8012/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://222.129.98.92:8888/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://123.115.195.226:8888/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://114.250.19.220:33333/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://114.254.219.197:8000/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://123.113.9.199:8876/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://125.33.179.15:5555/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://221.221.159.57:8182/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://123.118.54.250:9000/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://111.196.130.206:20000/rtp/239.3.1.189:8000
BRTV卡酷少儿_联通,http://123.118.48.192:9000/rtp/239.3.1.189:8000
BTV卡酷少儿_电信,http://182.32.160.10:9997/udp/239.21.1.49:5002
CCTV少儿_电信,http://219.151.249.219:8888/rtp/235.254.198.61:1520
CCTV少儿_电信,http://125.80.154.252:8001/rtp/235.254.198.61:1520
CCTV少儿_电信,http://171.223.215.229:4000/udp/239.93.1.29:6000
CCTV少儿_电信,http://125.71.57.181:4022/udp/239.93.1.29:6000
CCTV少儿_电信,http://113.251.180.215:4022/rtp/235.254.198.61:1520
CCTV少儿_电信,http://171.214.202.208:4000/udp/239.93.1.29:6000
CCTV少儿_电信,http://118.114.188.36:8888/udp/239.93.1.29:6000
CCTV少儿_电信,http://171.88.35.80:4000/udp/239.93.1.29:6000
CCTV少儿_电信,http://171.212.120.197:8880/udp/239.93.1.29:6000
CCTV少儿_电信,http://125.80.154.252:8001/rtp/235.254.198.10:1316
CCTV少儿_电信,http://219.151.249.219:8888/rtp/235.254.198.10:1316
CCTV少儿_电信,http://113.251.180.215:4022/rtp/235.254.198.10:1316
CCTV少儿_电信,http://182.148.15.57:8888/udp/239.93.1.29:6000
CCTV少儿_联通,http://101.204.133.78:8888/udp/239.93.1.29:6000
CCTV少儿_联通,http://119.4.229.215:8888/udp/239.93.1.29:6000
CQTV少儿_电信,http://219.151.249.219:8888/rtp/235.254.196.214:1128
CQTV少儿_电信,http://125.80.154.252:8001/rtp/235.254.196.214:1128
CQTV少儿_电信,http://113.251.180.215:4022/rtp/235.254.196.214:1128
CQTV少儿_联通,http://211.158.153.158:8009/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.11.54.168:8010/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.11.54.168:8009/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.10.213.1:8004/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.10.213.1:8002/udp/225.0.4.71:7980
CQTV少儿_联通,http://211.158.153.158:8001/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.10.208.156:8004/udp/225.0.4.71:7980
CQTV少儿_联通,http://123.144.228.167:8088/udp/225.0.4.71:7980
CQTV少儿_联通,http://211.158.152.61:8010/udp/225.0.4.71:7980
CQTV少儿_联通,http://123.145.51.46:8005/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.10.0.236:8005/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.10.185.114:4022/udp/225.0.4.71:7980
CQTV少儿_联通,http://113.206.182.61:8888/udp/225.0.4.71:7980
CQTV少儿_联通,http://27.8.77.236:48889/udp/225.0.4.71:7980
IPTV少儿动画_电信,http://115.171.251.148:8888/udp/225.1.8.207:9000
IPTV搞笑动画_电信,http://118.249.190.166:8888/udp/239.76.254.207:9000
IPTV搞笑动画_电信,http://220.168.77.124:8888/udp/239.76.254.207:9000
IPTV搞笑动画_电信,http://175.10.56.41:4022/udp/239.76.254.207:9000
kaku少儿_电信,http://120.11.62.207:4000/rtp/239.253.92.162:8054
kaku少儿_联通,http://110.253.152.47:8888/rtp/239.253.92.162:8054
kaku少儿_联通,http://120.11.62.207:4000/rtp/239.253.92.162:8054
中录动漫4K_电信,http://118.114.188.36:8888/udp/239.93.1.188:5140
中录动漫4K_电信,http://171.214.202.208:4000/udp/239.93.1.188:5140
中录动漫4K_电信,http://171.88.35.80:4000/udp/239.93.1.188:5140
中录动漫4K_电信,http://171.212.120.197:8880/udp/239.93.1.188:5140
中录动漫4K_联通,http://101.204.133.78:8888/udp/239.93.1.188:5140
中录动漫4K_联通,http://119.4.229.215:8888/udp/239.93.1.188:5140
优漫卡通_电信,http://49.87.154.246:9901/tsfile/live/1026_1.m3u8
优漫卡通_电信,http://113.64.145.61:8081/hls/128/index.m3u8
优漫卡通_电信,http://106.40.108.22:8888/udp/239.29.0.127:5000
优漫卡通_电信,http://219.145.19.213:5555/rtp/239.112.205.185:5140
优漫卡通_电信,http://1.83.163.40:8888/rtp/239.112.205.185:5140
优漫卡通_电信,http://117.23.162.73:9001/rtp/239.112.205.185:5140
优漫卡通_电信,http://1.83.163.47:8888/rtp/239.112.205.185:5140
优漫卡通_电信,http://1.83.163.75:8888/rtp/239.112.205.185:5140
优漫卡通_电信,http://113.133.232.82:8008/rtp/239.112.205.185:5140
优漫卡通_电信,http://118.114.188.36:8888/udp/239.93.0.251:5140
优漫卡通_电信,http://125.71.57.181:4022/udp/239.93.0.251:5140
优漫卡通_电信,http://171.214.202.208:4000/udp/239.93.0.251:5140
优漫卡通_电信,http://171.88.35.80:4000/udp/239.93.0.251:5140
优漫卡通_电信,http://36.46.99.83:8020/rtp/239.112.205.185:5140
优漫卡通_电信,http://1.83.126.249:8888/rtp/239.112.205.185:5140
优漫卡通_电信,http://117.23.162.205:9001/rtp/239.112.205.185:5140
优漫卡通_联通,http://101.204.133.78:8888/udp/239.93.0.251:5140
